imdb_id,title,certificate,startYear,type,origin_country,language,rating,numVotes,genres
tt0993840,Army of the Dead,18,2021,movie,United States,English,5.8,110780.0,"Action,Crime,Horror"
tt6111574,The Woman in the Window,18,2021,movie,United States,English,5.7,46703.0,"Crime,Drama,Mystery"
tt7979580,The Mitchells vs the Machines,13,2021,movie,United States,English,7.8,55762.0,"Adventure,Animation,Comedy"
tt7084386,Blue Miracle,13,2021,movie,United States,English,6.7,2962.0,"Adventure,Biography,Drama"
tt10962368,Things Heard & Seen,16,2021,movie,United States,English,5.3,20762.0,"Drama,Horror,Mystery"
tt9203694,Stowaway,13,2021,movie,Germany,English,5.6,33501.0,"Drama,Sci-Fi,Thriller"
tt11286314,Don't Look Up,,2021,movie,United States,English,,,Comedy
tt9013182,I Am All Girls,16,2021,movie,South Africa,English,5.8,3283.0,"Crime,Drama,Mystery"
tt9848626,Hotel Transylvania: Transformania,,2021,movie,United States,English,,,"Adventure,Animation,Comedy"
tt3661210,The Dig,16,2021,movie,United Kingdom,English,7.1,56763.0,"Biography,Drama,History"
tt10121392,Thunder Force,13,2021,movie,United States,English,4.4,33506.0,"Action,Adventure,Comedy"
tt3758814,The Ice Road,PG-13,2021,movie,United States,English,,,Thriller
tt8368408,Gunpowder Milkshake,R,2021,movie,France,English,,,"Action,Adventure,Thriller"
tt6566576,Fear Street,,2021,movie,United States,English,,,"Horror,Mystery"
tt12939812,The Nailbomber,,2021,movie,United Kingdom,English,6.3,1107.0,"Crime,Documentary,History"
tt10418662,Awake,18,2021,movie,United States,English,4.8,2846.0,"Action,Adventure,Drama"
tt6432466,Moxie,13,2021,movie,United States,English,6.7,18962.0,"Comedy,Drama,Music"
tt8521876,Yes Day,7,2021,movie,United States,English,5.7,17536.0,"Comedy,Family"
tt6733874,America: The Motion Picture,,2021,movie,United States,English,,,"Action,Adventure,Animation"
tt10451914,Outside the Wire,18,2021,movie,Hungary,English,5.4,35882.0,"Action,Adventure,Fantasy"
tt7991608,Red Notice,,2021,movie,United States,English,,,"Action,Comedy,Crime"
tt9684220,Bad Trip,18,2021,movie,United States,English,6.6,18590.0,Comedy
tt12676326,Malcolm & Marie,18,2021,movie,United States,English,6.7,28869.0,"Drama,Romance"
tt10332588,Finding 'Ohana,7,2021,movie,United States,English,6.1,7636.0,"Action,Adventure,Comedy"
tt4733624,Fatherhood,PG-13,2021,movie,United States,English,,,"Comedy,Drama"
tt7897330,Deadly Illusions,18,2021,movie,United States,English,3.6,9808.0,"Drama,Thriller"
tt6467266,Sing 2,PG,2021,movie,France,English,,,"Adventure,Animation,Comedy"
tt11388278,A Week Away,13,2021,movie,United States,English,5.7,3247.0,"Drama,Family,Musical"
tt1655389,Blonde,,2021,movie,United States,English,,,"Biography,Drama,Romance"
tt4590256,He's All That,,2021,movie,United States,English,,,"Comedy,Romance"
tt14152756,Seaspiracy,18,2021,movie,United States,English,8.2,23284.0,"Adventure,Documentary"
tt13024674,Army of Thieves,,2021,movie,Germany,English,,,"Action,Crime,Horror"
tt5562070,Wish Dragon,7,2021,movie,China,English,6.9,221.0,"Adventure,Animation,Comedy"
tt10676012,To All the Boys: Always and Forever,13,2021,movie,United States,English,6.3,17605.0,"Comedy,Drama,Romance"
tt8231668,Good on Paper,R,2021,movie,United States,English,,,"Comedy,Romance"
tt9783600,Escape From Spiderhead,,2021,movie,United States,English,,,"Action,Mystery,Sci-Fi"
tt1893273,The Last Letter from Your Lover,,2021,movie,United Kingdom,English,,,"Drama,Romance"
tt12783454,The Kissing Booth 3,,2021,movie,United Kingdom,English,,,"Comedy,Romance"
tt10731768,Sweet Girl,R,2021,movie,United States,English,,,"Action,Drama,Thriller"
tt3447590,Matilda,,2021,movie,United Kingdom,English,,,"Comedy,Drama,Family"
tt14539726,Breaking Boundaries: The Science of Our Planet,7,2021,movie,United States,English,7.8,475.0,Documentary
tt8721424,"tick, tick...Boom!",,2021,movie,United States,English,,,"Biography,Drama,Musical"
tt13932162,Secret Magic Control Agency,7,2021,movie,Russia,English,6.2,2241.0,"Adventure,Animation,Comedy"
tt6338498,Vivo,PG,2021,movie,Canada,English,,,"Adventure,Animation,Comedy"
tt9421570,The Guilty,R,2021,movie,United States,English,,,"Crime,Drama,Thriller"
tt10293406,The Power of the Dog,,2021,movie,United Kingdom,English,,,Drama
tt6964940,Skater Girl,7,2021,movie,United States,English,,,"Drama,Family,Sport"
tt14611368,Trippin' with the Kandasamys,,2021,movie,South Africa,English,5.3,146.0,"Comedy,Romance"
tt12851396,Trollhunters: Rise of the Titans,,2021,movie,United States,English,,,"Action,Adventure,Animation"
tt9701940,Fear Street 2,,2021,movie,United States,English,,,"Horror,Mystery"
tt7737528,Kate,R,2021,movie,United States,English,,,"Action,Adventure,Crime"
tt6714432,The Loud House,,2021,movie,Spain,English,,,"Action,Adventure,Animation"
tt14111734,Operation Varsity Blues: The College Admissions Scandal,13,2021,movie,United States,English,7.0,6284.0,"Crime,Documentary,Drama"
tt6076668,Hating Peter Tatchell,,2021,movie,Australia,English,7.5,244.0,Documentary
tt9701942,Fear Street 3,,2021,movie,United States,English,,,"Horror,Mystery"
tt10696784,The Harder They Fall,,2021,movie,United States,English,,,"Drama,Western"
tt8893974,Passing,PG-13,2021,movie,United Kingdom,English,7.1,182.0,Drama
tt7475578,Munich,,2021,movie,United Kingdom,English,,,"Biography,Drama,History"
tt10187208,A Boy Called Christmas,,2021,movie,United Kingdom,English,,,"Adventure,Drama,Family"
tt14307536,A Jazzman's Blues,,2021,movie,United States,English,,,Drama
tt11233960,Untitled Sandra Bullock/Nora Fingscheidt Project,,2021,movie,United Kingdom,English,,,Drama
tt10763820,Night Teeth,,2021,movie,United States,English,,,Thriller
tt14369930,In Our Mothers' Gardens,,2021,movie,United States,English,8.9,51.0,Documentary
tt11657662,The Witcher: Nightmare of the Wolf,,2021,movie,United States,English,,,"Action,Adventure,Animation"
tt13575806,Back to the Outback,,2021,movie,United States,English,,,"Adventure,Animation,Comedy"
tt8150814,There's Someone Inside Your House,,2021,movie,United States,English,,,"Horror,Thriller"
tt14058484,Biggie: I Got a Story to Tell,18,2021,movie,United States,English,6.9,4135.0,"Biography,Documentary,Music"
tt12141112,Metal Lords,,2021,movie,United States,English,,,"Drama,Music"
tt13842562,Pelé,13,2021,movie,United Kingdom,English,7.0,3268.0,"Biography,Documentary,Sport"
tt13583144,The Minimalists: Less Is Now,13,2021,movie,United States,English,5.9,3238.0,Documentary
tt11364112,Beauty,,2021,movie,United States,English,,,"Drama,Romance"
tt14731142,The Princess Switch 3,,2021,movie,United States,English,,,"Comedy,Drama,Family"
tt10752004,Love Hard,,2021,movie,United States,English,,,"Comedy,Romance"
tt13787118,"Strip Down, Rise Up",18,2021,movie,United States,English,5.2,492.0,Documentary
tt9784708,Rise of the Teenage Mutant Ninja Turtles,,2021,movie,United States,English,,,"Action,Adventure,Animation"
tt10521144,Nightbooks,,2021,movie,United States,English,,,"Family,Fantasy,Horror"
tt13649700,"Crack: Cocaine, Corruption & Conspiracy",18,2021,movie,United States,English,6.7,2640.0,"Crime,Documentary,History"
tt13873302,Against the Ice,,2021,movie,United States,English,,,"Adventure,Drama,History"
tt12929990,Resort to Love,,2021,movie,United States,English,,,"Comedy,Romance"
tt13070602,A Castle for Christmas,,2021,movie,United States,English,,,"Adventure,Comedy,Family"
tt11224358,Pray Away,,2021,movie,United States,English,,,Documentary
tt14315756,Single All the Way,,2021,movie,United States,English,,,"Comedy,Drama,Romance"
tt9337574,Sisters on Track,PG,2021,movie,United States,English,,,"Documentary,Sport"
tt5563324,Intrusion,,2021,movie,United States,English,,,Thriller
tt13947978,Accomplice,,2021,movie,United States,English,7.3,193.0,Documentary
tt12383460,Hypnotic,,2021,movie,United States,English,,,"Horror,Thriller"
tt12885272,Diana,PG-13,2021,movie,United States,English,,,"Biography,Drama,Musical"
tt14684160,Headspace: Unwind Your Mind,All,2021,movie,United States,English,,,"Animation,Documentary"
tt14539744,"Bob Ross: Happy Accidents, Betrayal & Greed",,2021,movie,United States,English,,,Documentary
tt13666778,Kane Chonicles,,2021,movie,United States,English,,,Adventure
tt13266974,Untitled Netflix Family Comedy 2021,,2021,movie,United States,English,,,Comedy
tt11893274,Untitled Boeing 737 Max/Rory Kennedy Project,,2021,movie,United States,English,,,Documentary
tt14307890,Happiness Ever After,,2021,movie,South Africa,English,,,"Drama,Romance"
tt2222042,Love and Monsters,13,2020,movie,Canada,English,7.0,91971.0,"Action,Adventure,Comedy"
tt9893250,I Care a Lot,18,2020,movie,United States,English,6.3,101431.0,"Comedy,Crime,Thriller"
tt8580274,Eurovision Song Contest: The Story of Fire Saga,PG-13,2020,movie,United States,English,6.5,82411.0,"Comedy,Music"
tt7395114,The Devil All the Time,18,2020,movie,United States,English,7.1,105158.0,"Crime,Drama,Thriller"
tt1838556,Honest Thief,PG-13,2020,movie,United States,English,6.0,36583.0,"Action,Crime,Drama"
tt8633478,Run,PG-13,2020,movie,United States,English,6.7,50255.0,"Mystery,Thriller"
tt6878306,News of the World,16,2020,movie,United States,English,6.8,65228.0,"Action,Adventure,Drama"
tt7846844,Enola Holmes,13,2020,movie,United Kingdom,English,6.6,140708.0,"Action,Adventure,Crime"
tt1070874,The Trial of the Chicago 7,18,2020,movie,United States,English,7.8,147967.0,"Drama,History,Thriller"
tt4779326,The Water Man,PG,2020,movie,United States,English,4.9,565.0,"Adventure,Drama,Family"
tt9820556,Breach,R,2020,movie,Canada,English,2.9,7561.0,"Action,Sci-Fi"
tt7556122,The Old Guard,18,2020,movie,United States,English,6.7,137367.0,"Action,Adventure,Fantasy"
tt8936646,Extraction,18,2020,movie,United States,English,6.7,169609.0,"Action,Thriller"
tt8629748,Spenser Confidential,18,2020,movie,United States,English,6.2,75475.0,"Action,Comedy,Crime"
tt10618286,Mank,16,2020,movie,United States,English,6.9,61633.0,"Biography,Comedy,Drama"
tt6772802,Hillbilly Elegy,18,2020,movie,United States,English,6.7,35778.0,Drama
tt2235695,Rebecca,18,2020,movie,United Kingdom,English,6.0,34569.0,"Drama,Mystery,Romance"
tt7939766,I'm Thinking of Ending Things,16,2020,movie,United States,English,6.6,69398.0,"Drama,Thriller"
tt11161474,Pieces of a Woman,18,2020,movie,Canada,English,7.1,40086.0,Drama
tt12888462,My Octopus Teacher,7,2020,movie,South Africa,English,8.1,38740.0,Documentary
tt0983946,Fantasy Island,A,2020,movie,United States,English,4.9,40351.0,"Action,Adventure,Fantasy"
tt9619798,The Wrong Missy,18,2020,movie,United States,English,5.7,34222.0,"Comedy,Romance"
tt10539608,The Midnight Sky,13,2020,movie,United States,English,5.6,74470.0,"Drama,Fantasy,Sci-Fi"
tt10600398,We Can Be Heroes,7,2020,movie,United States,English,4.7,11673.0,"Action,Comedy,Drama"
tt7550000,Project Power,16,2020,movie,United States,English,6.0,75538.0,"Action,Crime,Sci-Fi"
tt11024272,The Babysitter: Killer Queen,18,2020,movie,United States,English,5.8,29703.0,"Comedy,Horror"
tt8508734,His House,16,2020,movie,United Kingdom,English,6.5,30212.0,"Drama,Horror,Thriller"
tt10514222,Ma Rainey's Black Bottom,16,2020,movie,United States,English,7.0,43065.0,"Drama,Music"
tt10682266,Hubie Halloween,13,2020,movie,United States,English,5.2,41175.0,"Comedy,Mystery"
tt8846176,Concrete Cowboy,16,2020,movie,United Kingdom,English,6.3,6320.0,Drama
tt3907584,All the Bright Places,18,2020,movie,United States,English,6.5,23088.0,"Drama,Romance"
tt9866072,Holidate,16,2020,movie,United States,English,6.1,49581.0,"Comedy,Romance"
tt1918734,2067,,2020,movie,Australia,English,4.9,6376.0,Sci-Fi
tt10308928,Force of Nature,A,2020,movie,United States,English,4.5,8425.0,"Action,Crime,Drama"
tt9777644,Da 5 Bloods,18,2020,movie,United States,English,6.5,45651.0,"Adventure,Drama,War"
tt4823776,The SpongeBob Movie: Sponge on the Run,7,2020,movie,United States,English,6.0,13393.0,"Adventure,Animation,Comedy"
tt12139700,Jungle Beat: The Movie,G,2020,movie,Mauritius,English,5.5,658.0,"Adventure,Animation,Comedy"
tt6317656,Penguin Bloom,13,2020,movie,Australia,English,6.8,6338.0,Drama
tt7488208,Over the Moon,7,2020,movie,China,English,6.4,17434.0,"Adventure,Animation,Comedy"
tt5096470,Love Wedding Repeat,18,2020,movie,United Kingdom,English,5.5,18362.0,"Comedy,Romance"
tt10161886,The Prom,13,2020,movie,United States,English,5.9,23847.0,"Comedy,Drama,Musical"
tt9784456,The Kissing Booth 2,13,2020,movie,United Kingdom,English,5.8,22962.0,"Comedy,Romance"
tt3111426,Lost Girls,R,2020,movie,United States,English,6.1,18335.0,"Drama,Mystery,Thriller"
tt7970348,The Stand In,R,2020,movie,United States,English,4.6,2453.0,"Comedy,Drama"
tt7456312,The Last Thing He Wanted,18,2020,movie,United States,English,4.3,13387.0,"Crime,Drama,Thriller"
tt11464826,The Social Dilemma,13,2020,movie,United States,English,7.6,70972.0,"Documentary,Drama"
tt11388406,Horse Girl,18,2020,movie,United States,English,5.9,15514.0,"Drama,Mystery,Thriller"
tt10888708,The Sleepover,7,2020,movie,United States,English,5.6,8710.0,"Action,Adventure,Comedy"
tt10199914,The Boys in the Band,18,2020,movie,United States,English,6.8,12731.0,Drama
tt1552211,The Last Days of American Crime,18,2020,movie,United States,English,3.7,10109.0,"Action,Crime,Drama"
tt11100856,"Love, Guaranteed",7,2020,movie,United States,English,5.6,14835.0,"Comedy,Romance"
tt5206260,The Willoughbys,7,2020,movie,Canada,English,6.4,14757.0,"Adventure,Animation,Comedy"
tt10714856,Feel the Beat,7,2020,movie,United States,English,6.3,9062.0,"Comedy,Drama,Family"
tt12987894,American Murder: The Family Next Door,16,2020,movie,United States,English,7.2,21242.0,"Crime,Documentary"
tt10276470,Work It,13,2020,movie,United States,English,6.1,10490.0,"Comedy,Music"
tt8851668,The Lovebirds,18,2020,movie,United States,English,6.1,22436.0,"Action,Comedy,Crime"
tt10303430,Sightless,16,2020,movie,United States,English,5.5,6022.0,"Drama,Thriller"
tt10183816,Dangerous Lies,13,2020,movie,United States,English,5.3,15040.0,"Drama,Mystery,Thriller"
tt8145202,The F**k-It List,,2020,movie,United States,English,5.1,4934.0,Comedy
tt11390036,A Fall from Grace,,2020,movie,United States,English,5.9,13018.0,"Drama,Fantasy,Thriller"
